# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: \\ad.uillinois.edu\engr-ews\haofanl2\Documents\Adders.csv
# Generated on: Wed Feb 12 17:34:39 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Ahex0[6],Output,PIN_H22,6,B6_N0,,,,,,
Ahex0[5],Output,PIN_J22,6,B6_N0,,,,,,
Ahex0[4],Output,PIN_L25,6,B6_N1,,,,,,
Ahex0[3],Output,PIN_L26,6,B6_N1,,,,,,
Ahex0[2],Output,PIN_E17,7,B7_N2,,,,,,
Ahex0[1],Output,PIN_F22,7,B7_N0,,,,,,
Ahex0[0],Output,PIN_G18,7,B7_N2,,,,,,
Ahex1[6],Output,PIN_U24,5,B5_N0,,,,,,
Ahex1[5],Output,PIN_U23,5,B5_N1,,,,,,
Ahex1[4],Output,PIN_W25,5,B5_N1,,,,,,
Ahex1[3],Output,PIN_W22,5,B5_N0,,,,,,
Ahex1[2],Output,PIN_W21,5,B5_N1,,,,,,
Ahex1[1],Output,PIN_Y22,5,B5_N0,,,,,,
Ahex1[0],Output,PIN_M24,6,B6_N2,,,,,,
Ahex2[6],Output,PIN_W28,5,B5_N1,,,,,,
Ahex2[5],Output,PIN_W27,5,B5_N1,,,,,,
Ahex2[4],Output,PIN_Y26,5,B5_N1,,,,,,
Ahex2[3],Output,PIN_W26,5,B5_N1,,,,,,
Ahex2[2],Output,PIN_Y25,5,B5_N1,,,,,,
Ahex2[1],Output,PIN_AA26,5,B5_N1,,,,,,
Ahex2[0],Output,PIN_AA25,5,B5_N1,,,,,,
Ahex3[6],Output,PIN_Y19,4,B4_N0,,,,,,
Ahex3[5],Output,PIN_AF23,4,B4_N0,,,,,,
Ahex3[4],Output,PIN_AD24,4,B4_N0,,,,,,
Ahex3[3],Output,PIN_AA21,4,B4_N0,,,,,,
Ahex3[2],Output,PIN_AB20,4,B4_N0,,,,,,
Ahex3[1],Output,PIN_U21,5,B5_N0,,,,,,
Ahex3[0],Output,PIN_V21,5,B5_N1,,,,,,
Bhex0[6],Output,PIN_AE18,4,B4_N2,,,,,,
Bhex0[5],Output,PIN_AF19,4,B4_N1,,,,,,
Bhex0[4],Output,PIN_AE19,4,B4_N1,,,,,,
Bhex0[3],Output,PIN_AH21,4,B4_N2,,,,,,
Bhex0[2],Output,PIN_AG21,4,B4_N2,,,,,,
Bhex0[1],Output,PIN_AA19,4,B4_N0,,,,,,
Bhex0[0],Output,PIN_AB19,4,B4_N0,,,,,,
Bhex1[6],Output,PIN_AH18,4,B4_N2,,,,,,
Bhex1[5],Output,PIN_AF18,4,B4_N1,,,,,,
Bhex1[4],Output,PIN_AG19,4,B4_N2,,,,,,
Bhex1[3],Output,PIN_AH19,4,B4_N2,,,,,,
Bhex1[2],Output,PIN_AB18,4,B4_N0,,,,,,
Bhex1[1],Output,PIN_AC18,4,B4_N1,,,,,,
Bhex1[0],Output,PIN_AD18,4,B4_N1,,,,,,
Bhex2[6],Output,PIN_AC17,4,B4_N2,,,,,,
Bhex2[5],Output,PIN_AA15,4,B4_N2,,,,,,
Bhex2[4],Output,PIN_AB15,4,B4_N2,,,,,,
Bhex2[3],Output,PIN_AB17,4,B4_N1,,,,,,
Bhex2[2],Output,PIN_AA16,4,B4_N2,,,,,,
Bhex2[1],Output,PIN_AB16,4,B4_N2,,,,,,
Bhex2[0],Output,PIN_AA17,4,B4_N1,,,,,,
Bhex3[6],Output,PIN_AA14,3,B3_N0,,,,,,
Bhex3[5],Output,PIN_AG18,4,B4_N2,,,,,,
Bhex3[4],Output,PIN_AF17,4,B4_N2,,,,,,
Bhex3[3],Output,PIN_AH17,4,B4_N2,,,,,,
Bhex3[2],Output,PIN_AG17,4,B4_N2,,,,,,
Bhex3[1],Output,PIN_AE17,4,B4_N2,,,,,,
Bhex3[0],Output,PIN_AD17,4,B4_N2,,,,,,
CO,Output,PIN_F17,7,B7_N2,,,,,,
Clk,Input,PIN_Y2,2,B2_N0,,,,,,
LoadB,Input,PIN_M21,6,B6_N1,,,,,,
Reset,Input,PIN_M23,6,B6_N2,,,,,,
Run,Input,PIN_R24,5,B5_N0,,,,,,
SW[15],Input,PIN_AA22,5,B5_N2,,,,,,
SW[14],Input,PIN_AA23,5,B5_N2,,,,,,
SW[13],Input,PIN_AA24,5,B5_N2,,,,,,
SW[12],Input,PIN_AB23,5,B5_N2,,,,,,
SW[11],Input,PIN_AB24,5,B5_N2,,,,,,
SW[10],Input,PIN_AC24,5,B5_N2,,,,,,
SW[9],Input,PIN_AB25,5,B5_N1,,,,,,
SW[8],Input,PIN_AC25,5,B5_N2,,,,,,
SW[7],Input,PIN_AB26,5,B5_N1,,,,,,
SW[6],Input,PIN_AD26,5,B5_N2,,,,,,
SW[5],Input,PIN_AC26,5,B5_N2,,,,,,
SW[4],Input,PIN_AB27,5,B5_N1,,,,,,
SW[3],Input,PIN_AD27,5,B5_N2,,,,,,
SW[2],Input,PIN_AC27,5,B5_N2,,,,,,
SW[1],Input,PIN_AC28,5,B5_N2,,,,,,
SW[0],Input,PIN_AB28,5,B5_N1,,,,,,
Sum[15],Output,PIN_G15,7,B7_N2,,,,,,
Sum[14],Output,PIN_F15,7,B7_N2,,,,,,
Sum[13],Output,PIN_H17,7,B7_N2,,,,,,
Sum[12],Output,PIN_J16,7,B7_N2,,,,,,
Sum[11],Output,PIN_H16,7,B7_N2,,,,,,
Sum[10],Output,PIN_J15,7,B7_N2,,,,,,
