# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: /home/luotian2/Desktop/ece385/ECE385_SP2020/lab6/lab6.csv
# Generated on: Wed Feb 26 19:38:30 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ADDR[19],Output,PIN_T8,2,B2_N1,PIN_F18,,,,,,
ADDR[18],Output,PIN_AB8,3,B3_N2,PIN_B25,,,,,,
ADDR[17],Output,PIN_AB9,3,B3_N2,PIN_Y4,,,,,,
ADDR[16],Output,PIN_AC11,3,B3_N0,PIN_Y12,,,,,,
ADDR[15],Output,PIN_AB11,3,B3_N1,PIN_AD22,,,,,,
ADDR[14],Output,PIN_AA4,2,B2_N1,PIN_AE27,,,,,,
ADDR[13],Output,PIN_AC3,2,B2_N1,PIN_AA19,,,,,,
ADDR[12],Output,PIN_AB4,2,B2_N2,PIN_AB26,,,,,,
ADDR[11],Output,PIN_AD3,2,B2_N1,PIN_U23,,,,,,
ADDR[10],Output,PIN_AF2,2,B2_N2,PIN_U22,,,,,,
ADDR[9],Output,PIN_T7,2,B2_N0,PIN_AD27,,,,,,
ADDR[8],Output,PIN_AF5,3,B3_N2,PIN_AA26,,,,,,
ADDR[7],Output,PIN_AC5,2,B2_N2,PIN_AB25,,,,,,
ADDR[6],Output,PIN_AB5,2,B2_N2,PIN_AD28,,,,,,
ADDR[5],Output,PIN_AE6,3,B3_N2,PIN_Y26,,,,,,
ADDR[4],Output,PIN_AB6,2,B2_N2,PIN_AC27,,,,,,
ADDR[3],Output,PIN_AC7,3,B3_N2,PIN_AD25,,,,,,
ADDR[2],Output,PIN_AE7,3,B3_N1,PIN_AB22,,,,,,
ADDR[1],Output,PIN_AD7,3,B3_N2,PIN_AE24,,,,,,
ADDR[0],Output,PIN_AB7,3,B3_N1,PIN_Y16,,,,,,
CE,Output,PIN_AF8,3,B3_N1,PIN_W1,,,,,,
Clk,Input,PIN_Y2,2,B2_N0,PIN_J1,,,,,,
Continue,Input,PIN_N21,6,B6_N2,PIN_L27,,,,,,
Data[15],Bidir,PIN_AG3,3,B3_N2,PIN_V27,,,,,,
Data[14],Bidir,PIN_AF3,3,B3_N2,PIN_V21,,,,,,
Data[13],Bidir,PIN_AE4,3,B3_N2,PIN_W21,,,,,,
Data[12],Bidir,PIN_AE3,2,B2_N2,PIN_V28,,,,,,
Data[11],Bidir,PIN_AE1,2,B2_N1,PIN_V23,,,,,,
Data[10],Bidir,PIN_AE2,2,B2_N1,PIN_Y25,,,,,,
Data[9],Bidir,PIN_AD2,2,B2_N1,PIN_V26,,,,,,
Data[8],Bidir,PIN_AD1,2,B2_N1,PIN_W27,,,,,,
Data[7],Bidir,PIN_AF7,3,B3_N1,PIN_V22,,,,,,
Data[6],Bidir,PIN_AH6,3,B3_N2,PIN_U25,,,,,,
Data[5],Bidir,PIN_AG6,3,B3_N2,PIN_U26,,,,,,
Data[4],Bidir,PIN_AF6,3,B3_N2,PIN_V25,,,,,,
Data[3],Bidir,PIN_AH4,3,B3_N2,PIN_W25,,,,,,
Data[2],Bidir,PIN_AG4,3,B3_N2,PIN_V24,,,,,,
Data[1],Bidir,PIN_AF4,3,B3_N2,PIN_AB27,,,,,,
Data[0],Bidir,PIN_AH3,3,B3_N2,PIN_W26,,,,,,
HEX0[6],Output,PIN_H22,6,B6_N0,PIN_P25,,,,,,
HEX0[5],Output,pin_j22,6,B6_N0,PIN_AF23,,,,,,
HEX0[4],Output,PIN_L25,6,B6_N1,PIN_AC21,,,,,,
HEX0[3],Output,PIN_L26,6,B6_N1,PIN_R21,,,,,,
HEX0[2],Output,PIN_E17,7,B7_N2,PIN_W22,,,,,,
HEX0[1],Output,PIN_F22,7,B7_N0,PIN_AD21,,,,,,
HEX0[0],Output,PIN_G18,7,B7_N2,PIN_AC19,,,,,,
HEX1[6],Output,PIN_U24,5,B5_N0,PIN_R28,,,,,,
HEX1[5],Output,PIN_U23,5,B5_N1,PIN_L28,,,,,,
HEX1[4],Output,PIN_W25,5,B5_N1,PIN_M25,,,,,,
HEX1[3],Output,PIN_W22,5,B5_N0,PIN_R24,,,,,,
HEX1[2],Output,PIN_W21,5,B5_N1,PIN_T26,,,,,,
HEX1[1],Output,PIN_Y22,5,B5_N0,PIN_R23,,,,,,
HEX1[0],Output,PIN_M24,6,B6_N2,PIN_R27,,,,,,
HEX2[6],Output,PIN_W28,5,B5_N1,PIN_AA25,,,,,,
HEX2[5],Output,PIN_W27,5,B5_N1,PIN_P26,,,,,,
HEX2[4],Output,PIN_Y26,5,B5_N1,PIN_Y24,,,,,,
HEX2[3],Output,PIN_W26,5,B5_N1,PIN_AF27,,,,,,
HEX2[2],Output,PIN_Y25,5,B5_N1,PIN_N26,,,,,,
HEX2[1],Output,PIN_AA26,5,B5_N1,PIN_P27,,,,,,
HEX2[0],Output,PIN_AA25,5,B5_N1,PIN_T25,,,,,,
HEX3[6],Output,PIN_Y19,4,B4_N0,PIN_Y23,,,,,,
HEX3[5],Output,PIN_AF23,4,B4_N0,PIN_M28,,,,,,
HEX3[4],Output,PIN_AD24,4,B4_N0,PIN_R22,,,,,,
HEX3[3],Output,PIN_AA21,4,B4_N0,PIN_P21,,,,,,
HEX3[2],Output,PIN_AB20,4,B4_N0,PIN_L23,,,,,,
HEX3[1],Output,PIN_U21,5,B5_N0,PIN_L24,,,,,,
HEX3[0],Output,PIN_V21,5,B5_N1,PIN_AC28,,,,,,
HEX4[6],Output,PIN_AE18,4,B4_N2,PIN_AB21,,,,,,
HEX4[5],Output,PIN_AF19,4,B4_N1,PIN_AE26,,,,,,
HEX4[4],Output,PIN_AE19,4,B4_N1,PIN_N21,,,,,,
